,precision,recall,f1-score,support
Pepper__bell___Bacterial_spot,0.9801980198019802,0.99,0.9850746268656716,100.0
Pepper__bell___healthy,0.9931972789115646,0.9864864864864865,0.9898305084745763,148.0
Potato___Early_blight,0.98,0.98,0.98,100.0
Potato___Late_blight,0.95,0.95,0.95,100.0
Potato___healthy,1.0,1.0,1.0,16.0
Tomato_Bacterial_spot,0.953125,0.8591549295774648,0.9037037037037037,213.0
Tomato_Early_blight,0.8717948717948718,0.68,0.7640449438202247,100.0
Tomato_Late_blight,0.9148936170212766,0.900523560209424,0.9076517150395779,191.0
Tomato_Leaf_Mold,0.926829268292683,0.7916666666666666,0.8539325842696629,96.0
Tomato_Septoria_leaf_spot,0.8163265306122449,0.898876404494382,0.8556149732620321,178.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.8406593406593407,0.9107142857142857,0.8742857142857143,168.0
Tomato__Target_Spot,0.7058823529411765,0.851063829787234,0.7717041800643086,141.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9935064935064936,0.9532710280373832,0.972972972972973,321.0
Tomato__Tomato_mosaic_virus,1.0,0.8421052631578947,0.9142857142857143,38.0
Tomato_healthy,0.8820224719101124,0.98125,0.9289940828402367,160.0
accuracy,0.908695652173913,0.908695652173913,0.908695652173913,0.908695652173913
macro avg,0.9205623496967829,0.9050074969420815,0.9101397146589598,2070.0
weighted avg,0.9140260315997175,0.908695652173913,0.9091452928625564,2070.0
